,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
1780,64.05691179600716,16.796588846576263,20.590147840419927,109.61404156684677,-21.737954101547505,15.543332,3.468278
1827,63.89569436950035,16.762287744082474,20.881553135526133,111.02996428477658,-23.49033945351936,13.9761,2.7397203
2576,64.41279837486526,16.94772397450725,21.440406410424067,112.78276806267964,-23.819577109751293,8.107573,0.96019936
2610,64.3849411231356,16.949608497570036,23.0646447155953,122.36479154155062,-27.812591542335863,16.566332,3.780383
3676,64.0065961553584,16.98296420388861,21.62212179497498,117.38951560114694,-29.94066189010253,13.75481,2.825718
5907,64.53807309193438,17.416130138912035,21.944709122364497,113.6904264767072,-27.89789617687469,14.702765,3.0002718
7085,64.78389360834417,17.524630513050628,21.390700254048006,113.12486444102618,-27.85180674507326,8.279239,0.8785043
7097,64.77453821008584,17.57303077505859,18.461937432588705,95.7729988884318,-24.046104783078384,15.879586,3.4458542
13466,65.66541825180812,18.269179460705352,24.013842432491053,123.99441660194366,-34.00012525988708,12.078186,2.2556143
16204,65.38496942725972,18.41744025238449,20.885733460424145,110.44900990966732,-31.91854784127326,6.7013855,0.582345
18696,65.98658444862387,18.63879538133933,17.00977577711063,88.85242072869505,-26.587395691147808,15.451751,3.0456114
20643,67.09797616794343,14.740888781191003,18.031611641848457,96.5526715452556,-15.77217172551526,5.8225656,0.456995
25732,65.5218007130912,13.9797340815185,18.164522869714805,91.37135559917202,-16.277065747335534,20.22393,3.0144482
25797,68.40865079618047,16.762386244728727,20.61556113871976,97.99880517969228,-25.49159863900907,9.15698,1.0530233
26163,65.51518023603637,14.077103275227197,22.026938316127616,113.77447283192949,-21.32101663168436,5.6442456,0.42680836
28015,65.39545704764056,14.409703887220196,20.67979693450329,104.19978440400168,-19.148581742579594,6.4990244,0.54883385
28906,68.48680175601453,16.86893699017762,21.48256636168679,102.05202469721355,-28.39885970028468,13.742438,2.7609415
29170,65.84974595899124,14.427849817287893,21.16004577091608,110.94351874539676,-21.13552582176292,13.543492,2.9259453
34547,65.39669553192954,14.695153868168015,20.326692831232425,106.49657261059144,-19.73171837672036,14.278773,2.862668
35972,65.23411332349541,14.859496095395018,20.60062139966309,110.0820107151224,-21.127957778586957,15.127425,3.1471786
38533,65.88522390284595,14.67039844789645,21.47606756520902,109.24196419712032,-17.947133876529186,8.887173,1.0133181
38838,66.05246947657736,14.75815758342354,20.85619771465096,110.22626713190958,-12.401878513086965,7.4817166,0.7890749
40277,65.96041133865042,14.921402707495972,25.659887528901287,113.94731001144052,-28.725636874633704,12.134732,2.6072578
41719,66.46067898955343,15.002464972130216,21.39808326312012,107.05284803871862,-22.616431639961323,14.749543,3.0265055
42526,66.52007676867467,15.041285019426097,20.8390589991997,101.60630054880184,-22.71326170096517,11.470464,1.9116602
47774,65.68458418346766,15.056034383369544,21.18773295114552,114.26697815985808,-13.83439728546639,7.1384563,0.75829554
47775,65.68440170253284,15.056327740576604,21.026355477142264,100.34236674943136,-29.289519804074057,8.366908,0.71623135
47777,65.66660974089085,15.062399584369444,23.376665408586792,84.40576431748806,-23.434784824028057,14.077939,3.0911245
48839,65.75678797400016,15.228121233684698,20.706527940234576,107.43366431136246,-19.466892830338374,15.144566,3.082655
49124,65.62766802462878,15.220167414714908,18.11368489032656,93.53061496608102,-16.996589044770936,13.449509,2.5116777
60568,66.20070596676636,15.874649203665436,20.67833275816717,100.34452068045356,-12.269188261040467,11.324224,1.9229269
60670,66.11822759101871,15.88417682534391,20.427173906644025,97.93689390469106,-27.924670732472297,13.793449,2.7745047
61754,64.48201074130418,14.54618936034991,19.12017017960125,101.52842316746492,-16.23276630942371,13.750528,2.7072926
62780,65.92951789088579,15.880803450919558,22.4770888204994,114.89314405896891,-25.89355391931108,13.549859,2.683323
64368,68.52256353868661,14.21747714186208,18.199448000795204,85.34915099980427,-16.904617893734333,11.629388,1.8422108
67556,66.31936239676666,16.3022336834695,21.250239265348167,108.55029876049758,-25.83963038411747,14.998649,3.057806
70984,65.98260314349544,16.354077059105514,22.088260260658192,114.60982694374128,-27.79161336804319,14.329463,-0.25275135
73220,66.05368139719631,16.378832571987743,17.449854123331388,89.65812351400601,-21.969793217646227,8.081527,0.75091076
73727,68.4626315976831,14.844319676275646,21.635396574818312,103.08256504033994,-24.426545849169408,4.6015615,0.34702873
73728,68.4696324759209,14.850761740625993,21.94460899596352,101.81615258036,-25.70815437780425,15.195518,3.1247358
75572,65.99690955661914,16.721465710411213,21.74597706160512,108.74205842614374,-24.43100030064956,11.733229,2.0506887
76436,66.11855100326646,16.886053964801455,21.781982400489085,112.37591155236862,-25.540146749299083,7.6696334,0.7718458
76785,66.77789108447449,16.429579986614307,21.7524975456685,108.78997030370748,-26.28176339967887,16.60488,3.772418
76786,66.77717673131863,16.430092002554506,21.66732573514696,107.56779251043268,-24.91171284914873,16.533167,3.7260933
79338,66.6676726168485,16.74677258632566,21.85212884110757,107.47186617521814,-31.53080384333542,7.950683,0.81960154
80851,69.38373895275495,15.14637886078526,25.64365899829558,101.49228775284692,-18.51264849142796,7.4436464,0.7864218
82309,67.16468609875307,16.969906003224942,20.707493378225784,102.49011854574022,-27.08546350145112,14.05441,-0.33930874
85803,68.49438499286096,15.16352719505778,20.64126832294862,108.03672531476836,-33.11013701066008,8.2856655,1.0252385
85911,68.66689038204488,15.208964911975178,21.07507415226267,103.15688773254992,-35.85557174837498,11.549942,2.0912971
86203,66.60303643900508,16.853180488088583,26.757921734572857,95.67399868464572,-38.76184315143705,7.8861456,0.81799173
87081,66.57982992496277,17.05047474838996,21.204050746536424,101.85154123967044,-28.253993605040456,16.338469,3.5770655
87995,66.25145306022212,16.98478765438497,18.356021527791533,91.12098370948652,-24.706893735919387,9.9699745,1.2241106
88742,68.86895204897276,15.399151275857331,21.71718631525121,98.40024767636912,-33.97375567713968,14.505741,3.1322365
90317,66.81983230907242,17.241711375171782,21.81444620546993,107.51215513083208,-31.586936720187342,12.13662,2.210867
94323,65.15179237979066,15.095358731795551,21.089906328443732,108.44328858667495,-21.17075959243724,5.2019286,0.31598282
95315,64.78857902000178,15.163184312317922,12.77082227821334,114.328150351204,-19.54223457057411,19.262972,3.5461578
96215,64.3677423441332,14.900983314066778,20.282956302607197,105.84047506258158,-17.3536926911853,13.256185,2.5939026
96746,65.85493019594335,16.777147465731876,20.79504603398395,106.9709172238661,-26.24746920701244,5.573977,0.40038252
97979,64.4656126372456,15.227063447450588,21.125368661812228,109.65233201547665,-21.86460130676811,14.218251,2.8814716
103951,65.80253436758252,15.712784182546748,21.566208065928656,112.2485024763629,-21.56015783535826,14.3163395,2.9911318
104018,65.85591280295498,15.763005166817576,24.13445982542496,125.17305802663108,-26.473774863980964,10.021945,1.4853077
105914,64.94888616843296,15.62753819285276,21.664548744839895,116.24694786142688,-23.368325290143204,3.4027567,1.2049625
107056,65.18255682157536,17.297763689178325,10.016424178702064,90.30480567985217,-33.674074367137045,18.662073,3.7577991
108296,66.09326952772372,17.07883604085962,19.95899563246898,99.88705024230195,-26.678483809607272,6.855921,0.591115
109811,66.30695338557209,17.268076545714347,19.31283635339333,107.26120047579408,-27.188425324213828,11.998245,2.6850185
112143,66.02741879597104,17.4442235658507,21.6459760407146,107.84832747952228,-22.62373525280196,14.596136,2.597931
112261,66.02452121402943,17.443985101312077,21.61924104437301,110.58004635581656,-32.8087266938356,4.7558556,0.22975779
112487,63.9433848777668,15.400600422560654,21.303677442165004,115.59655062933147,-21.520782477177725,6.218952,0.5320587
117201,63.890922806874194,15.706163930174665,21.98884310674368,120.46690653191756,-23.2509911470314,10.433477,1.5646591
117602,65.73422490902678,17.542390757517502,20.30919733178576,106.21194808573482,-27.692344422611363,3.516044,1.1873329
121530,66.35479242496689,17.91521008711174,21.447339313427232,109.61815254023466,-31.353316361727813,10.60706,1.5973215
121534,66.3729376285106,17.927768735352878,21.086509524006694,107.31597291846634,-30.999864147519936,4.295662,0.08517885
123470,66.07110065917192,18.00278420332121,21.496896698223075,110.9135626017914,-30.66859095747958,9.650242,1.2481861
123478,64.55462493665708,16.098024004388698,20.725496302360657,107.2614855943022,-23.893462096674515,14.750199,3.0744343
123480,64.5808484916205,16.08822764431631,22.242729901750533,118.80159677568072,-23.34002380212081,9.294652,1.1461821
128166,64.97907765724916,16.522417532947376,21.72533378313141,106.06273081506647,-32.65447460692883,7.0219374,0.7089796
129932,67.20174925382867,17.285341899758865,21.5489076022758,108.67985266985404,-28.446330982590844,7.7025585,0.7695646
130332,64.22748221254695,16.356806031614795,21.063924177565333,115.22802477350784,-25.82165237738849,13.190009,2.5590515
130691,64.35050988364875,16.360162605488387,11.1414099185732,125.6721811827672,-23.1318008351153,18.466118,3.604866
131552,69.74413335884405,15.66134729244483,20.73420397208147,92.88202041354572,-23.120656818575483,16.722443,3.7036982
133450,64.47973597435556,16.54438228291828,22.43113673226544,116.30472723578748,-26.587973156205532,12.951096,2.6879072
133913,68.0336649745617,17.6643440638911,21.07527631220369,99.88685030851735,-30.65515123965629,13.979582,2.8372974
136212,67.87161425364759,17.718518754515433,22.235741889084355,104.71801159828372,-32.00552823368455,11.184438,1.8785868
136471,67.9051025367819,17.70963694563987,28.50799708079248,98.72381967215487,-22.03806136654581,9.247976,1.1795635
136672,67.6780424615967,14.66142954817377,24.44786660420823,120.4713690861953,-23.898170768119044,15.196015,3.2821007
136961,67.6415947161492,14.747976746494444,20.132587476239596,97.18962516286848,-16.36292548313833,13.689717,2.7153435
137943,69.02238770364617,15.68389752025828,19.993054066507124,95.39931453844356,-24.0218109907978,9.142798,1.0282259
139746,69.1701171674695,15.869204695827204,21.607898747664954,99.90459107635893,-33.823473739301406,6.5345774,0.5849438
141135,69.5444304347343,15.821382952558132,21.01838989752342,97.32743849223635,-26.75931565908957,14.388778,2.9184856
141968,69.61596544100632,16.00290935094271,20.892995227960203,98.74019918834688,-25.3597968168199,17.021824,3.8433332
142011,67.81866462842426,15.00322280399349,21.05318989100504,101.15523679833852,-20.258241111458684,16.090866,3.5432816
142080,69.81913777991349,15.917885549178791,18.230829894846018,81.92573483228713,-20.19515376217493,4.641709,0.23430204
142669,67.93265109428891,15.041007895036628,19.653211597272005,102.22101671140982,-12.1587021843932,11.476107,2.0255966
147495,67.37695672528574,17.863022648846673,21.438554423234333,106.1192327332723,-32.02855957789507,6.797135,0.60004234
147596,67.38219601870492,17.89303687476587,22.00647700341757,107.65175197214356,-32.96408044400983,8.7407255,0.9833555
150074,68.09949961823423,17.750589386258458,23.39160255904337,109.74291264913512,-34.40545119986002,13.353131,1.6093512
150909,67.30193646682095,15.273804206793624,21.451662078172305,103.30019069611257,-22.12825385808798,11.554099,1.9621143
152140,67.53632737172786,15.637736095425185,21.4201372807942,108.88056712014205,-21.81897870414946,5.6056676,0.4476633
154731,67.96911967367434,15.49937349658422,21.871807832755163,105.36486514556807,-24.24098903749085,10.49808,1.5730047
155582,68.64759095859309,15.504503855092008,21.66896992865236,100.96281435030956,-26.81401752868006,7.782416,0.78598595
158000,68.63451075082207,15.827466076708385,19.196267295270147,90.27940471974104,-20.41792654543152,9.416291,1.0850573
159030,67.93658293586253,15.630149907181586,21.928109289904448,104.99937028732845,-31.718638053931382,13.436778,2.7022161
159031,67.9373303656096,15.629243097689292,21.9411429349474,103.60681970600947,-23.577862998495743,11.270382,1.9153843
160524,67.66251575060892,15.691769659062851,21.86843191355519,103.48821587457375,-24.353763331160515,5.4175873,0.32913733
160803,67.64578394363194,15.733880135447295,17.485169103609127,100.58648261744736,-25.256904263235377,8.67361,1.0493889
161329,67.96612153925633,15.851471350184571,21.00505488455235,99.4956310598399,-34.32999088297088,5.928877,0.46518755
161767,68.24817726690902,15.818854771000632,21.35731378098158,100.37574321605688,-25.47369149898669,8.475605,0.9044514
162477,68.20929931916466,16.00568312875324,21.986514300716408,101.05427327696728,-29.529461832054025,8.728549,1.086051
166243,66.59090387218913,18.00015324250052,19.427532599125374,97.8577223001976,-29.7341267710622,14.301552,3.1228762
166919,66.90003194033417,15.589085472787543,21.284016509945317,105.16744918201684,-23.914466137534937,7.289236,0.6894736
169910,67.16608051054888,15.870784455320392,21.81251596251546,106.14776250704207,-20.293824952737538,3.3779078,0.39932775
170356,66.45571421241527,15.521152733202104,19.24494209151141,118.90400050998016,-10.06363019801935,11.395764,1.9788427
170411,66.52490368958763,15.52423039219106,23.521027428410385,124.1960154822138,-25.313428178678848,7.3494782,0.7129674
171083,66.5869485853136,15.618207900194715,21.3957803576917,87.43530172194305,-20.978016384764462,4.4061656,0.37813282
174464,66.40598637273915,15.94090753969732,21.10764322783181,102.95013743101792,-26.0262116770142,6.341617,0.64434147
174538,65.75006042586956,13.316199502891404,18.68050241562746,95.68905943359069,-13.39933870066955,12.676082,2.3190641
181303,67.69551967147464,16.148532608296946,22.452802624244807,114.04477575771098,-33.38083251325954,6.406904,0.5842619
181387,66.99617799986078,18.50010051841109,19.76046789154403,108.59516179857594,-40.88521471827621,9.7873955,1.2999792
181953,67.2190620079301,15.981472635522984,22.15827839888896,110.42404683449864,-27.23903776948722,11.251079,1.8968086
182658,67.64062132435598,16.193900711881753,22.18747294665825,104.88879350180169,-25.445976467323547,4.752029,0.23295069
186237,67.79637749253605,16.39576252180493,20.316503143723228,98.79967538236876,-24.70843360310259,13.791429,2.7550125
187382,67.24952006074582,16.15896922043472,22.17514707292207,130.93138565834687,-26.57679514531823,6.4531355,0.6963291
187813,67.37958519537817,16.244692315734465,21.81806190139089,104.46346593636034,-21.071062521463688,9.932404,1.3727016
188069,67.25111621738195,16.346213879024717,21.632519360189345,105.1068878388032,-27.317100539736167,13.074519,2.6452227
188320,66.92021718932686,16.248607862645795,18.8055441535833,92.26337778265044,-21.21159228544068,14.2993765,2.805253
188998,67.04582690253649,16.47079736733054,23.619650052576446,114.2985456740802,-31.90279009515716,10.505475,1.6662092
189810,67.25475392693583,18.67354031760568,23.141968871394663,113.32245937317006,-36.05766616826965,12.25473,2.393879
190980,66.9971739315349,18.75895052871627,19.12817304877517,94.52775529815136,-27.9373293393555,12.942235,2.7030401
191898,67.49102855410932,16.67271469531208,21.918833298371936,106.76090585888043,-28.325579500310205,8.859189,1.0197
192318,65.20962117311133,13.764632505500591,23.244162503690003,116.50454510902506,-20.94380103926764,18.743992,4.075575
192548,65.22015770420096,13.864370841354328,21.09351261138683,106.88260714504528,-12.399521780388248,6.0480075,0.5970855
192851,67.48275769215242,16.913911822491304,22.72646779815639,109.78026960512184,-31.23702514412812,11.965812,2.199377
194004,64.9909642432842,14.035119724261309,21.97774049011765,115.369072100897,-18.825387132746577,5.5111136,0.39070892
198302,64.83451345915711,14.316347980068391,20.85092023125928,107.93602845660207,-17.7577790655432,11.98053,2.0924911
205272,69.00076086608343,16.54067137752644,18.356398508668303,96.04014816037308,-27.0793186228104,10.310301,1.5994682
206256,66.13187780097878,13.928549141036688,21.993423194312864,113.07056240121685,-18.252254939822112,15.081756,3.1072779
206735,65.9772483642147,14.052019583524013,23.11137844797413,115.51631633334895,-19.06604078860303,10.364231,1.5692282
209762,66.85088845612013,14.11857201972296,22.33738497873375,108.56474654944674,-18.051971998953,14.462616,2.9582796
211215,66.85605547720428,14.260578556388577,20.42227991360521,102.45836199187342,-19.956020786554035,10.026131,1.33076
213421,66.94644176768678,14.417664583381969,20.35256529381705,100.55014107182478,-19.20040671441904,9.218413,1.0889225
213870,69.38416312823124,16.75879068634628,21.41008523788961,95.44066329763558,-14.250744828838087,14.5759945,2.9406567
213871,69.38447123432836,16.758565709467636,21.28243624077011,99.74091391478244,-28.382371806868484,14.538664,3.167117
221456,66.7269036563752,13.138103140203471,20.856250700610264,104.6549179420714,-16.500474218532617,10.08551,1.3796988
221670,67.20948986265694,13.04753577613368,20.7158275616805,104.0662360049054,-14.900380463272183,4.974638,0.28398275
224581,66.4657421464766,13.502584738819609,22.739119775786293,113.38304331107248,-19.155673748306107,13.912734,2.7894402
227334,67.65616639413629,13.72431676410995,21.491451797641616,106.56507793489249,-19.248993711890343,5.3405814,0.36794996
230159,67.09389131915107,13.822676224049486,20.77181149357056,105.07476082538018,-19.53295525173183,14.891436,3.1672688
230225,67.01894114867126,13.867854184261594,20.87561036886644,102.26882886369415,-18.99106792317413,8.839648,0.9900665
